Word
animosity
animus
antipathy
against
aversion
disapproval
disgust
displeasure
dissatisfaction
distaste
enmity
hostility
loathing
prejudice
deprecation
detestation
disapprobation
disesteem
disfavor
disinclination
indisposition
objection
offense
opposition
repugnance
revolt
satiation
satiety
sickness
surfeit
nauseation
nauseousness
