Word
pathetic
Constantly Irritated
Depressed
Discouraged
Disinterested
Dispirited
Feeling Worthles
Flat
Helpless
Humorless
Impulsive
Indifferent
Isolated
Lethargic
Listless
Melancholy
Pessimistic
Purposeless
Withdrawn
World-weary
Bereft
Crushed
Desolate
Despairing
Desperate
Drained
Empty
Fatalistic
Hopeless
Joyless
Miserable
Morbid
Overwhelmed
Passionless
Pleasure-less
Sullen
cockroaches
Intense Suicidal Urges
Agonized
Anguished
Bleak
Death-seeking
Devastated
Doomed
Gutted
Nihilistic
Numbed
Reckless
Self-destructive
Suicidal
Tormented
Tortured
