Word
Disbelieving
Distrustful
Insecure
Protective
Suspicious
Vulnerable
Covetous
Demanding
Desirous
Envious
Jealous
Threatened
Avaricious
Gluttonous
Grasping
Greedy
Green with Envy
Persistently Jealous
Possessive
Resentful
