Word
Contemplative
Disappointed
Disconnected
Distracted
Grounded
Listless
Low
Regretful
Steady
Wistful
Dejected
Discouraged
Dispirited
Down
Downtrodden
Drained
Forlorn
Gloomy
Grieving
Heavy-hearted
Melancholy
Mournful
Sad
Sorrowful
Weepy
World-weary
Anguished
Bereaved
Bleak
Depressed
Despairing
Despondent
Grief-stricken
Heartbroken
Hopeless
Inconsolable
Morose
dejection
despondency
doldrums
dumps
gloom
gloominess
glumness
heavy heart
low spirits
melancholy
moodiness
mournfulness
sadness
the dismals
the mopes
unhappiness
abasement
abjection
abjectness
blahs
bleakness
blue funk
bummer
cheerlessness
dejection
desolation
desperation
despondency
disconsolation
discouragement
dispiritedness
distress
dole
dolefulness
dolor
downheartedness
dreariness
dullness
dumps
ennui
gloom
gloominess
heaviness of heart
heavyheartedness
hopelessness
lowness
lugubriosity
melancholia
melancholy
misery
mortification
qualm
sadness
sorrow
the blues
trouble
unhappiness
vapors
woefulness
worry
anguish
dejection
despair
gloom
gloominess
loneliness
melancholy
misery
mourning
sadness
sorrow
woe
cold feet
dejection
depression
despair
disappointment
discomfiture
dismay
downheartedness
hopelessness
loss of confidence
low spirits
melancholy
pessimism
sadness
the blues
depression
despair
gloom
grief
ache
affliction
anguish
anxiety
bad news
blues
care
concern
cross
dejection
desolation
disappointment
discomfort
disquietude
dolor
embarrassment
grief
headache
heartache
heartbreak
irritation
malaise
misery
mortification
ordeal
pang
perplexity
sadness
shame
sorrow
stew
suffering
throe
torment
torture
trial
tribulation
trouble
twinge
unconsolability
unhappiness
vexation
visitation
woe
worriment
worry
wretchedness
ache
affliction
anguish
anxiety
bad news
blues
care
concern
cross
dejection
desolation
disappointment
discomfort
disquietude
dolor
embarrassment
grief
headache
heartache
heartbreak
irritation
malaise
misery
mortification
ordeal
pang
perplexity
sadness
shame
sorrow
stew
suffering
throe
torment
torture
trial
agony
distress
grief
heartache
heartbreak
passion
ruth
sadness
sorrow
blandness
boringness
colorlessness
depression
drabness
dryness
dullness
flatness
flavorlessness
forlornness
gloom
insipidity
insipidness
jejuneness
joylessness
lifelessness
melancholy
sadness
vapidity
vapidness
sorry
adjourned
adjourn
